ID,Age,Gender,Marital,Ethnicity,Education,Occupation,WorkSector,ProfPosition,OrgTenure,WorkingHours,Income,BWAS_1,BWAS_2,BWAS_3,BWAS_4,BWAS_5,BWAS_6,BWAS_7,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,JSS_1,JSS_2,JSS_3,JSS_4,JSS_5,JSS_6,JSS_7,BBI_1,BBI_2,BBI_3,BBI_4,BBI_5,BBI_6,BBI_7,BBI_8,BBI_9
124,33,2,5,6,5,4,1,4,1,55,4,5,3,4,4,3,3,3,4,2,2,4,4,4,4,4,3,4,4,4,4,1,3,2,4,5,4,4,3,4,2,4,2,4,3,2
125,25,2,5,6,6,20,1,4,2,19,5,4,4,3,4,3,5,5,4,3,4,4,4,4,4,3,3,4,4,3,4,1,3,1,4,4,4,4,3,4,4,4,3,3,3,3
126,22,2,5,3,5,9,1,4,3,8,1,3,3,3,2,2,4,4,3,2,4,2,4,2,4,3,3,3,3,2,3,1,3,2,2,4,2,1,3,1,4,4,4,2,1,1
127,30,2,5,6,6,14,1,4,1,30,2,4,5,4,4,5,5,5,5,5,5,4,4,3,4,5,4,5,5,5,4,2,5,1,4,2,5,2,2,4,2,2,2,1,5,1
128,66,1,1,6,5,23,3,1,10,20,5,3,3,1,2,3,2,2,5,5,5,3,5,4,5,5,4,4,4,4,4,5,4,3,4,2,4,1,1,3,2,2,3,1,4,3
129,48,2,4,6,5,2,2,2,5,44,10,1,2,3,1,2,2,2,4,4,3,4,4,4,4,5,3,4,3,4,3,3,3,2,4,4,4,3,2,4,3,2,2,2,2,2
130,28,1,1,6,7,8,1,4,3,32,3,1,2,4,1,2,1,1,5,4,5,4,4,4,5,4,5,5,4,4,3,5,4,2,3,2,3,1,5,1,5,2,5,1,4,2
131,43,1,5,3,6,2,2,4,4,45,2,2,2,1,1,2,3,2,3,3,3,3,2,2,4,4,3,4,4,4,3,2,2,4,2,3,3,4,4,2,5,2,2,2,2,2
132,36,1,5,8,6,23,2,2,15,22,1,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,4,3,3,2,4,4,4,3,4,3,3,2,4,4,2,3,4,3,3,4
133,40,2,1,6,6,8,2,1,1,36,8,3,2,1,3,1,3,4,5,5,5,4,4,4,4,5,4,4,4,4,4,3,4,1,4,3,4,3,2,2,2,1,2,1,2,2
134,38,2,5,8,6,5,1,3,12,37,5,2,1,2,1,2,2,2,3,3,4,3,2,3,3,4,4,4,2,4,4,4,3,2,2,2,3,2,5,2,3,5,5,2,4,4
135,23,2,5,6,5,7,2,4,2,16,2,2,2,2,2,2,4,2,3,2,2,2,4,2,3,5,2,4,2,2,1,3,1,5,1,2,1,3,6,5,6,5,3,3,6,5
136,26,2,5,2,5,23,2,4,5,40,4,2,4,4,3,2,4,4,1,2,1,4,3,3,4,4,2,4,3,2,3,2,3,1,2,4,3,5,5,3,5,4,4,4,5,3
